                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5003,                 1.3804,                 1.3834,                0.75168,                0.65228,                0.74651,                0.40972,                 1.7147,                 1.4088,                 1.5283,             0.00062103,             0.00062103,             0.00062103
                     35,                 1.5198,                 1.4119,                 1.3992,                0.69762,                0.65549,                0.72351,                0.36459,                   1.75,                 1.4723,                 1.5274,             0.00061203,             0.00061203,             0.00061203
                     36,                 1.5222,                 1.4043,                 1.4061,                0.62824,                0.77823,                 0.7437,                0.40342,                 1.7009,                 1.3077,                 1.5092,             0.00060303,             0.00060303,             0.00060303
                     37,                   1.52,                 1.4649,                 1.4098,                0.62552,                0.69383,                0.70748,                0.35624,                 1.7882,                 1.3811,                 1.5795,             0.00059403,             0.00059403,             0.00059403
                     38,                 1.5357,                 1.4339,                 1.4213,                0.59332,                0.76718,                 0.7345,                0.38457,                 1.7947,                 1.3214,                 1.5752,             0.00058503,             0.00058503,             0.00058503
                     39,                 1.4926,                 1.3781,                 1.3901,                0.73246,                0.73029,                0.77744,                0.43259,                 1.6745,                 1.2629,                 1.5227,             0.00057603,             0.00057603,             0.00057603
                     40,                 1.4949,                 1.3314,                 1.3852,                0.59346,                0.77378,                0.75004,                0.40307,                 1.7378,                 1.3195,                 1.5134,             0.00056703,             0.00056703,             0.00056703
                     41,                  1.545,                 1.4058,                 1.4129,                0.63065,                0.78648,                0.77774,                0.42431,                 1.7295,                 1.3178,                 1.5126,             0.00055804,             0.00055804,             0.00055804
                     42,                 1.5135,                  1.391,                  1.402,                 0.7038,                0.75653,                0.78865,                 0.4196,                 1.7416,                 1.2785,                 1.5271,             0.00054904,             0.00054904,             0.00054904
                     43,                  1.483,                 1.3638,                 1.3856,                 0.6372,                 0.7941,                0.76622,                0.41033,                 1.7646,                 1.2589,                 1.5521,             0.00054004,             0.00054004,             0.00054004
                     44,                 1.4663,                 1.3133,                  1.372,                0.74741,                0.73416,                0.79135,                0.44708,                 1.6621,                 1.2345,                 1.4546,             0.00053104,             0.00053104,             0.00053104
                     45,                 1.5208,                 1.3708,                 1.4183,                0.70077,                0.77017,                0.79714,                0.44056,                 1.6906,                   1.24,                 1.4941,             0.00052204,             0.00052204,             0.00052204
                     46,                 1.4796,                 1.3302,                 1.3762,                0.69677,                0.78682,                0.78895,                0.42506,                 1.7105,                 1.2336,                 1.4908,             0.00051304,             0.00051304,             0.00051304
                     47,                 1.4516,                 1.3121,                 1.3853,                0.60548,                0.78819,                0.75977,                0.37807,                  1.778,                 1.2697,                 1.5352,             0.00050404,             0.00050404,             0.00050404
                     48,                 1.4591,                 1.4074,                 1.3731,                0.64525,                0.76954,                0.78198,                0.43056,                 1.6763,                 1.2841,                 1.5112,             0.00049504,             0.00049504,             0.00049504
                     49,                 1.4368,                 1.3341,                 1.3636,                0.72338,                0.74673,                0.78195,                0.39493,                  1.782,                 1.2481,                 1.5263,             0.00048604,             0.00048604,             0.00048604
                     50,                 1.4397,                 1.2437,                 1.3647,                0.73153,                0.74049,                0.79592,                 0.4334,                 1.7358,                 1.1933,                 1.5144,             0.00047704,             0.00047704,             0.00047704
                     51,                 1.4791,                 1.2964,                 1.3783,                 0.6823,                0.72863,                0.74591,                0.39318,                 1.7768,                 1.3151,                 1.5508,             0.00046804,             0.00046804,             0.00046804
                     52,                 1.4129,                  1.265,                 1.3378,                0.70215,                0.78639,                 0.7987,                0.42543,                 1.7098,                 1.2403,                 1.4743,             0.00045904,             0.00045904,             0.00045904
                     53,                 1.4361,                 1.2521,                 1.3574,                0.66677,                0.74736,                0.75014,                0.38313,                 1.9018,                 1.2249,                 1.6245,             0.00045005,             0.00045005,             0.00045005
                     54,                 1.4238,                 1.2584,                 1.3441,                0.77388,                0.70592,                0.76673,                0.37471,                 1.8611,                 1.2787,                 1.6112,             0.00044105,             0.00044105,             0.00044105
                     55,                 1.4057,                 1.2369,                 1.3293,                0.73266,                0.72535,                0.76328,                0.38739,                 1.8241,                 1.2709,                 1.5945,             0.00043205,             0.00043205,             0.00043205
                     56,                 1.4059,                 1.2748,                 1.3471,                0.69293,                0.73869,                0.79317,                0.40319,                 1.8042,                 1.3337,                  1.591,             0.00042305,             0.00042305,             0.00042305
                     57,                 1.4144,                 1.2356,                 1.3357,                0.64608,                0.76169,                0.78153,                 0.4218,                 1.7483,                 1.2313,                 1.5083,             0.00041405,             0.00041405,             0.00041405
                     58,                 1.3729,                 1.1884,                 1.3175,                0.77055,                0.75285,                0.80428,                0.43439,                 1.7083,                 1.1549,                 1.5098,             0.00040505,             0.00040505,             0.00040505
                     59,                 1.4036,                 1.2337,                 1.3281,                0.79528,                 0.7438,                0.80086,                0.42814,                 1.7924,                 1.1675,                 1.5554,             0.00039605,             0.00039605,             0.00039605
                     60,                 1.4065,                 1.3006,                 1.3369,                0.71055,                0.79667,                0.81626,                0.45514,                 1.6922,                 1.1743,                  1.478,             0.00038705,             0.00038705,             0.00038705
                     61,                 1.3893,                 1.2389,                 1.3313,                0.74347,                0.79615,                0.81287,                0.44157,                  1.763,                 1.1824,                 1.5192,             0.00037805,             0.00037805,             0.00037805
                     62,                 1.3568,                 1.1813,                 1.3125,                0.77058,                 0.7581,                0.79883,                0.40294,                 1.8249,                 1.1906,                 1.5514,             0.00036905,             0.00036905,             0.00036905
                     63,                 1.3947,                 1.2648,                 1.3122,                0.76034,                0.74318,                0.76822,                0.41019,                 1.7936,                 1.1968,                  1.562,             0.00036005,             0.00036005,             0.00036005
                     64,                 1.4011,                  1.199,                 1.3254,                0.77053,                0.74197,                0.77404,                0.41798,                 1.7937,                 1.1689,                 1.5432,             0.00035106,             0.00035106,             0.00035106
                     65,                 1.3712,                 1.2067,                 1.3105,                0.71522,                0.75283,                0.77973,                0.39741,                 1.8405,                 1.1941,                 1.5739,             0.00034206,             0.00034206,             0.00034206
                     66,                 1.3896,                  1.215,                 1.3257,                0.89507,                0.68632,                0.78133,                0.41198,                 1.7909,                 1.2022,                 1.5518,             0.00033306,             0.00033306,             0.00033306
                     67,                 1.3327,                 1.1651,                 1.2984,                0.71373,                0.76505,                 0.7786,                0.41323,                  1.855,                 1.1776,                 1.6086,             0.00032406,             0.00032406,             0.00032406
                     68,                 1.3644,                 1.1358,                 1.3014,                0.72274,                0.78647,                0.79366,                0.40069,                 1.8685,                 1.1563,                 1.6164,             0.00031506,             0.00031506,             0.00031506
                     69,                 1.3465,                 1.1914,                 1.3197,                0.72681,                0.75497,                0.76103,                 0.4085,                 1.7861,                 1.1746,                 1.5913,             0.00030606,             0.00030606,             0.00030606
                     70,                  1.347,                 1.1483,                 1.2925,                0.68149,                0.74636,                0.75679,                0.40558,                 1.8408,                 1.1537,                 1.6156,             0.00029706,             0.00029706,             0.00029706
                     71,                 1.3353,                 1.1551,                 1.2994,                0.71218,                0.73598,                0.77192,                0.40907,                 1.8091,                 1.1518,                 1.5591,             0.00028806,             0.00028806,             0.00028806
                     72,                 1.3279,                 1.1524,                 1.2968,                0.71674,                0.75901,                0.78349,                0.42769,                 1.7555,                 1.1218,                 1.5356,             0.00027906,             0.00027906,             0.00027906
                     73,                 1.3329,                 1.1262,                 1.2929,                0.72822,                0.79974,                0.79656,                0.43469,                 1.7342,                 1.1322,                 1.5079,             0.00027006,             0.00027006,             0.00027006
                     74,                 1.3355,                 1.1512,                 1.3156,                0.67133,                0.74222,                0.77482,                0.41587,                 1.7982,                 1.1812,                  1.565,             0.00026106,             0.00026106,             0.00026106
                     75,                 1.2829,                 1.1199,                 1.2715,                0.71555,                0.77854,                0.80282,                0.42381,                 1.8135,                  1.158,                 1.5943,             0.00025207,             0.00025207,             0.00025207
                     76,                 1.3402,                 1.1159,                  1.298,                0.71124,                0.77185,                0.79697,                0.41019,                 1.7933,                 1.1679,                 1.5905,             0.00024307,             0.00024307,             0.00024307
