                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4974,                 3.4552,                 3.0428,                0.31303,                0.55745,                0.47745,                0.23491,                 2.2483,                 2.7642,                 2.8654,              0.0008416,              0.0008416,              0.0008416
                     35,                 2.4675,                 3.4906,                 3.0684,                0.34514,                0.54924,                0.41554,                0.20082,                 2.1734,                 3.1816,                 2.9579,             0.00083665,             0.00083665,             0.00083665
                     36,                 2.3752,                 3.3616,                 3.0067,                0.40878,                0.66699,                0.47847,                0.21376,                 2.1941,                 2.7886,                   2.92,              0.0008317,              0.0008317,              0.0008317
                     37,                 2.3756,                 3.4172,                 3.0045,                0.59931,                0.46533,                0.47769,                0.21727,                 2.1689,                  2.666,                 2.8949,             0.00082675,             0.00082675,             0.00082675
                     38,                 2.3778,                 3.3261,                 2.9714,                0.40897,                0.48579,                0.45201,                0.20847,                  2.213,                 2.7121,                  2.867,              0.0008218,              0.0008218,              0.0008218
                     39,                 2.3592,                 3.2228,                  2.949,                0.45263,                0.55487,                  0.501,                0.21367,                 2.2042,                 2.4638,                 2.8911,             0.00081685,             0.00081685,             0.00081685
                     40,                 2.3183,                 3.3134,                 2.9546,                0.62853,                0.35391,                0.37041,                0.14173,                 2.3206,                 2.6601,                  2.978,              0.0008119,              0.0008119,              0.0008119
                     41,                 2.3334,                 3.2485,                 2.9027,                 0.4045,                0.45804,                 0.4272,                 0.1561,                 2.1786,                  2.667,                 2.8839,             0.00080695,             0.00080695,             0.00080695
                     42,                 2.3477,                 3.2096,                 2.9232,                0.38363,                0.45938,                0.47302,                0.22108,                 2.1233,                 2.5264,                 2.8045,               0.000802,               0.000802,               0.000802
                     43,                 2.3011,                 3.2002,                 2.9254,                0.63092,                0.33941,                0.42364,                0.17555,                 2.1655,                 2.7527,                 2.9079,             0.00079705,             0.00079705,             0.00079705
