                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7537,                  1.971,                 2.3007,                0.51381,                 0.6517,                0.66131,                0.29558,                 1.9266,                 1.8762,                 2.5955,              0.0007195,              0.0007195,              0.0007195
                     36,                 1.7241,                 1.8805,                 2.2744,                0.61422,                 0.7136,                0.70058,                0.32729,                 1.8368,                 1.5578,                 2.5133,             0.00071125,             0.00071125,             0.00071125
                     37,                 1.7703,                  1.869,                 2.3209,                0.55971,                 0.7096,                 0.6772,                0.31996,                 1.8997,                 1.7429,                 2.5808,               0.000703,               0.000703,               0.000703
                     38,                 1.7614,                 1.8681,                 2.3348,                0.57683,                0.68013,                0.69503,                0.34722,                 1.8158,                 1.6299,                 2.4954,             0.00069475,             0.00069475,             0.00069475
                     39,                 1.6936,                 1.7798,                  2.237,                0.54057,                0.69798,                0.67973,                0.34294,                 1.8369,                 1.6064,                 2.5041,              0.0006865,              0.0006865,              0.0006865
                     40,                 1.7557,                 1.8416,                 2.2831,                 0.5419,                0.60477,                0.60815,                0.29021,                 1.9141,                 1.8197,                 2.5619,             0.00067825,             0.00067825,             0.00067825
                     41,                 1.7221,                 1.8151,                 2.2638,                0.62258,                 0.7004,                0.72052,                0.35782,                 1.8352,                 1.5488,                 2.4828,                0.00067,                0.00067,                0.00067
                     42,                 1.7778,                 1.8165,                 2.2777,                0.56553,                0.67508,                0.64446,                0.30238,                 1.9454,                 1.7198,                 2.6149,             0.00066175,             0.00066175,             0.00066175
                     43,                 1.6875,                 1.7633,                 2.2489,                 0.5517,                0.70966,                0.69068,                0.32876,                 1.9175,                 1.6587,                 2.6244,              0.0006535,              0.0006535,              0.0006535
                     44,                 1.7232,                 1.7475,                 2.2471,                0.59151,                 0.6748,                0.67512,                0.32887,                 1.8411,                 1.5512,                 2.5034,             0.00064525,             0.00064525,             0.00064525
                     45,                 1.7115,                 1.8147,                 2.2634,                0.59995,                 0.6898,                0.67791,                0.33195,                 1.8734,                 1.6268,                 2.4888,               0.000637,               0.000637,               0.000637
                     46,                 1.7096,                 1.7554,                 2.2627,                0.67558,                0.70687,                0.70335,                0.32205,                 1.9063,                 1.5967,                 2.5827,             0.00062875,             0.00062875,             0.00062875
                     47,                 1.7205,                 1.8222,                 2.2149,                0.49437,                0.64223,                0.65388,                0.34301,                 1.8287,                 1.7663,                 2.4678,              0.0006205,              0.0006205,              0.0006205
                     48,                 1.7005,                 1.7499,                 2.1987,                0.53429,                0.65983,                0.63942,                0.31908,                 1.8478,                 1.7552,                 2.5532,             0.00061225,             0.00061225,             0.00061225
                     49,                 1.7265,                 1.7673,                 2.2504,                0.62428,                 0.6467,                0.70988,                 0.3196,                 1.9005,                 1.5783,                 2.5191,               0.000604,               0.000604,               0.000604
                     50,                 1.6842,                 1.7871,                 2.2218,                0.61993,                0.71663,                0.72679,                0.37504,                 1.7962,                 1.5761,                 2.3946,             0.00059575,             0.00059575,             0.00059575
                     51,                 1.6714,                 1.6858,                 2.2068,                0.62727,                0.68799,                0.69777,                0.30742,                 1.9619,                 1.5942,                  2.597,              0.0005875,              0.0005875,              0.0005875
                     52,                 1.7079,                 1.7473,                 2.2205,                0.62648,                0.65354,                0.70565,                0.33517,                 1.9445,                 1.5783,                 2.5842,             0.00057925,             0.00057925,             0.00057925
                     53,                 1.6642,                 1.6696,                 2.1862,                0.60184,                0.73382,                0.74278,                0.37409,                   1.77,                 1.5545,                 2.4461,               0.000571,               0.000571,               0.000571
                     54,                 1.7136,                 1.7112,                 2.2138,                0.71357,                0.69686,                 0.7281,                0.37158,                 1.7816,                 1.5015,                 2.4643,             0.00056275,             0.00056275,             0.00056275
